species,island,flipper_length_mm,body_mass_g,sex,year,body_mass_kg
Adelie Penguin (Pygoscelis adeliae),Torgersen,195,4000,MALE,2008,4
Adelie Penguin (Pygoscelis adeliae),Torgersen,189,3200,FEMALE,2008,3.2
Adelie Penguin (Pygoscelis adeliae),Torgersen,196,4700,MALE,2008,4.7
Adelie Penguin (Pygoscelis adeliae),Torgersen,187,3800,FEMALE,2008,3.8
Adelie Penguin (Pygoscelis adeliae),Torgersen,193,4200,MALE,2008,4.2
Adelie Penguin (Pygoscelis adeliae),Dream,191,3350,FEMALE,2008,3.35
Adelie Penguin (Pygoscelis adeliae),Dream,194,3550,MALE,2008,3.55
Adelie Penguin (Pygoscelis adeliae),Dream,190,3800,MALE,2008,3.8
Adelie Penguin (Pygoscelis adeliae),Dream,189,3500,FEMALE,2008,3.5
Adelie Penguin (Pygoscelis adeliae),Dream,189,3950,MALE,2008,3.95
Adelie Penguin (Pygoscelis adeliae),Dream,190,3600,FEMALE,2008,3.6
Adelie Penguin (Pygoscelis adeliae),Dream,202,3550,FEMALE,2008,3.55
Adelie Penguin (Pygoscelis adeliae),Dream,205,4300,MALE,2008,4.3
Adelie Penguin (Pygoscelis adeliae),Dream,185,3400,FEMALE,2008,3.4
Adelie Penguin (Pygoscelis adeliae),Dream,186,4450,MALE,2008,4.45
Adelie Penguin (Pygoscelis adeliae),Dream,187,3300,FEMALE,2008,3.3
Adelie Penguin (Pygoscelis adeliae),Dream,208,4300,MALE,2008,4.3
Adelie Penguin (Pygoscelis adeliae),Dream,190,3700,FEMALE,2008,3.7
Adelie Penguin (Pygoscelis adeliae),Dream,196,4350,MALE,2008,4.35
Adelie Penguin (Pygoscelis adeliae),Dream,178,2900,FEMALE,2008,2.9
Adelie Penguin (Pygoscelis adeliae),Dream,192,4100,MALE,2008,4.1
Adelie Penguin (Pygoscelis adeliae),Biscoe,192,3725,FEMALE,2009,3.725
Adelie Penguin (Pygoscelis adeliae),Biscoe,203,4725,MALE,2009,4.725
Adelie Penguin (Pygoscelis adeliae),Biscoe,183,3075,FEMALE,2009,3.075
Adelie Penguin (Pygoscelis adeliae),Biscoe,190,4250,MALE,2009,4.25
Adelie Penguin (Pygoscelis adeliae),Biscoe,193,2925,FEMALE,2009,2.925
Adelie Penguin (Pygoscelis adeliae),Biscoe,184,3550,MALE,2009,3.55
Adelie Penguin (Pygoscelis adeliae),Biscoe,199,3750,FEMALE,2009,3.75
Adelie Penguin (Pygoscelis adeliae),Biscoe,190,3900,MALE,2009,3.9
Adelie Penguin (Pygoscelis adeliae),Biscoe,181,3175,FEMALE,2009,3.175
Adelie Penguin (Pygoscelis adeliae),Biscoe,197,4775,MALE,2009,4.775
Adelie Penguin (Pygoscelis adeliae),Biscoe,198,3825,FEMALE,2009,3.825
Adelie Penguin (Pygoscelis adeliae),Biscoe,191,4600,MALE,2009,4.6
Adelie Penguin (Pygoscelis adeliae),Biscoe,193,3200,FEMALE,2009,3.2
Adelie Penguin (Pygoscelis adeliae),Biscoe,197,4275,MALE,2009,4.275
Adelie Penguin (Pygoscelis adeliae),Biscoe,191,3900,FEMALE,2009,3.9
Adelie Penguin (Pygoscelis adeliae),Biscoe,196,4075,MALE,2009,4.075
Adelie Penguin (Pygoscelis adeliae),Torgersen,188,2900,FEMALE,2009,2.9
Adelie Penguin (Pygoscelis adeliae),Torgersen,199,3775,MALE,2009,3.775
Adelie Penguin (Pygoscelis adeliae),Torgersen,189,3350,FEMALE,2009,3.35
Adelie Penguin (Pygoscelis adeliae),Torgersen,189,3325,MALE,2009,3.325
Adelie Penguin (Pygoscelis adeliae),Torgersen,187,3150,FEMALE,2009,3.15
Adelie Penguin (Pygoscelis adeliae),Torgersen,198,3500,MALE,2009,3.5
Adelie Penguin (Pygoscelis adeliae),Torgersen,176,3450,FEMALE,2009,3.45
Adelie Penguin (Pygoscelis adeliae),Torgersen,202,3875,MALE,2009,3.875
Adelie Penguin (Pygoscelis adeliae),Torgersen,186,3050,FEMALE,2009,3.05
Adelie Penguin (Pygoscelis adeliae),Torgersen,199,4000,MALE,2009,4
Adelie Penguin (Pygoscelis adeliae),Torgersen,191,3275,FEMALE,2009,3.275
Adelie Penguin (Pygoscelis adeliae),Torgersen,195,4300,MALE,2009,4.3
Adelie Penguin (Pygoscelis adeliae),Torgersen,191,3050,FEMALE,2009,3.05
Adelie Penguin (Pygoscelis adeliae),Torgersen,210,4000,MALE,2009,4
Adelie Penguin (Pygoscelis adeliae),Torgersen,190,3325,FEMALE,2009,3.325
Adelie Penguin (Pygoscelis adeliae),Torgersen,197,3500,MALE,2009,3.5
Adelie Penguin (Pygoscelis adeliae),Dream,193,3500,FEMALE,2009,3.5
Adelie Penguin (Pygoscelis adeliae),Dream,199,4475,MALE,2009,4.475
Adelie Penguin (Pygoscelis adeliae),Dream,187,3425,FEMALE,2009,3.425
Adelie Penguin (Pygoscelis adeliae),Dream,190,3900,MALE,2009,3.9
Adelie Penguin (Pygoscelis adeliae),Dream,191,3175,FEMALE,2009,3.175
Adelie Penguin (Pygoscelis adeliae),Dream,200,3975,MALE,2009,3.975
Adelie Penguin (Pygoscelis adeliae),Dream,185,3400,FEMALE,2009,3.4
Adelie Penguin (Pygoscelis adeliae),Dream,193,4250,MALE,2009,4.25
Adelie Penguin (Pygoscelis adeliae),Dream,193,3400,FEMALE,2009,3.4
Adelie Penguin (Pygoscelis adeliae),Dream,187,3475,MALE,2009,3.475
Adelie Penguin (Pygoscelis adeliae),Dream,188,3050,FEMALE,2009,3.05
Adelie Penguin (Pygoscelis adeliae),Dream,190,3725,MALE,2009,3.725
Adelie Penguin (Pygoscelis adeliae),Dream,192,3000,FEMALE,2009,3
Adelie Penguin (Pygoscelis adeliae),Dream,185,3650,MALE,2009,3.65
Adelie Penguin (Pygoscelis adeliae),Dream,190,4250,MALE,2009,4.25
Adelie Penguin (Pygoscelis adeliae),Dream,184,3475,FEMALE,2009,3.475
Adelie Penguin (Pygoscelis adeliae),Dream,195,3450,FEMALE,2009,3.45
Adelie Penguin (Pygoscelis adeliae),Dream,193,3750,MALE,2009,3.75
Adelie Penguin (Pygoscelis adeliae),Dream,187,3700,FEMALE,2009,3.7
Adelie Penguin (Pygoscelis adeliae),Dream,201,4000,MALE,2009,4
Gentoo penguin (Pygoscelis papua),Biscoe,211,4500,FEMALE,2007,4.5
Gentoo penguin (Pygoscelis papua),Biscoe,230,5700,MALE,2007,5.7
Gentoo penguin (Pygoscelis papua),Biscoe,210,4450,FEMALE,2007,4.45
Gentoo penguin (Pygoscelis papua),Biscoe,218,5700,MALE,2007,5.7
Gentoo penguin (Pygoscelis papua),Biscoe,215,5400,MALE,2007,5.4
Gentoo penguin (Pygoscelis papua),Biscoe,210,4550,FEMALE,2007,4.55
Gentoo penguin (Pygoscelis papua),Biscoe,211,4800,FEMALE,2007,4.8
Gentoo penguin (Pygoscelis papua),Biscoe,219,5200,MALE,2007,5.2
Gentoo penguin (Pygoscelis papua),Biscoe,209,4400,FEMALE,2007,4.4
Gentoo penguin (Pygoscelis papua),Biscoe,215,5150,MALE,2007,5.15
Gentoo penguin (Pygoscelis papua),Biscoe,214,4650,FEMALE,2007,4.65
Gentoo penguin (Pygoscelis papua),Biscoe,216,5550,MALE,2007,5.55
Gentoo penguin (Pygoscelis papua),Biscoe,214,4650,FEMALE,2007,4.65
Gentoo penguin (Pygoscelis papua),Biscoe,213,5850,MALE,2007,5.85
Gentoo penguin (Pygoscelis papua),Biscoe,210,4200,FEMALE,2007,4.2
Gentoo penguin (Pygoscelis papua),Biscoe,217,5850,MALE,2007,5.85
Gentoo penguin (Pygoscelis papua),Biscoe,210,4150,FEMALE,2007,4.15
Gentoo penguin (Pygoscelis papua),Biscoe,221,6300,MALE,2007,6.3
Gentoo penguin (Pygoscelis papua),Biscoe,209,4800,FEMALE,2007,4.8
Gentoo penguin (Pygoscelis papua),Biscoe,222,5350,MALE,2007,5.35
Gentoo penguin (Pygoscelis papua),Biscoe,218,5700,MALE,2007,5.7
Gentoo penguin (Pygoscelis papua),Biscoe,215,5000,FEMALE,2007,5
Gentoo penguin (Pygoscelis papua),Biscoe,213,4400,FEMALE,2007,4.4
Gentoo penguin (Pygoscelis papua),Biscoe,215,5050,MALE,2007,5.05
Gentoo penguin (Pygoscelis papua),Biscoe,215,5000,FEMALE,2007,5
Gentoo penguin (Pygoscelis papua),Biscoe,215,5100,MALE,2007,5.1
Gentoo penguin (Pygoscelis papua),Biscoe,216,4100,NA,2007,4.1
Gentoo penguin (Pygoscelis papua),Biscoe,215,5650,MALE,2007,5.65
Gentoo penguin (Pygoscelis papua),Biscoe,210,4600,FEMALE,2007,4.6
Gentoo penguin (Pygoscelis papua),Biscoe,220,5550,MALE,2007,5.55
Gentoo penguin (Pygoscelis papua),Biscoe,222,5250,MALE,2007,5.25
Gentoo penguin (Pygoscelis papua),Biscoe,209,4700,FEMALE,2007,4.7
Gentoo penguin (Pygoscelis papua),Biscoe,207,5050,FEMALE,2007,5.05
Gentoo penguin (Pygoscelis papua),Biscoe,230,6050,MALE,2007,6.05
Gentoo penguin (Pygoscelis papua),Biscoe,220,5150,FEMALE,2008,5.15
Gentoo penguin (Pygoscelis papua),Biscoe,220,5400,MALE,2008,5.4
Gentoo penguin (Pygoscelis papua),Biscoe,213,4950,FEMALE,2008,4.95
Gentoo penguin (Pygoscelis papua),Biscoe,219,5250,MALE,2008,5.25
Gentoo penguin (Pygoscelis papua),Biscoe,208,4350,FEMALE,2008,4.35
Gentoo penguin (Pygoscelis papua),Biscoe,208,5350,MALE,2008,5.35
Gentoo penguin (Pygoscelis papua),Biscoe,208,3950,FEMALE,2008,3.95
Gentoo penguin (Pygoscelis papua),Biscoe,225,5700,MALE,2008,5.7
Gentoo penguin (Pygoscelis papua),Biscoe,210,4300,FEMALE,2008,4.3
Gentoo penguin (Pygoscelis papua),Biscoe,216,4750,MALE,2008,4.75
Gentoo penguin (Pygoscelis papua),Biscoe,222,5550,MALE,2008,5.55
Gentoo penguin (Pygoscelis papua),Biscoe,217,4900,FEMALE,2008,4.9
Gentoo penguin (Pygoscelis papua),Biscoe,210,4200,FEMALE,2008,4.2
Gentoo penguin (Pygoscelis papua),Biscoe,225,5400,MALE,2008,5.4
Gentoo penguin (Pygoscelis papua),Biscoe,213,5100,FEMALE,2008,5.1
Gentoo penguin (Pygoscelis papua),Biscoe,215,5300,MALE,2008,5.3
Gentoo penguin (Pygoscelis papua),Biscoe,210,4850,FEMALE,2008,4.85
Gentoo penguin (Pygoscelis papua),Biscoe,220,5300,MALE,2008,5.3
Gentoo penguin (Pygoscelis papua),Biscoe,210,4400,FEMALE,2008,4.4
Gentoo penguin (Pygoscelis papua),Biscoe,225,5000,MALE,2008,5
Gentoo penguin (Pygoscelis papua),Biscoe,217,4900,FEMALE,2008,4.9
Gentoo penguin (Pygoscelis papua),Biscoe,220,5050,MALE,2008,5.05
Gentoo penguin (Pygoscelis papua),Biscoe,208,4300,FEMALE,2008,4.3
Gentoo penguin (Pygoscelis papua),Biscoe,220,5000,MALE,2008,5
Gentoo penguin (Pygoscelis papua),Biscoe,208,4450,FEMALE,2008,4.45
Gentoo penguin (Pygoscelis papua),Biscoe,224,5550,MALE,2008,5.55
Gentoo penguin (Pygoscelis papua),Biscoe,208,4200,FEMALE,2008,4.2
Gentoo penguin (Pygoscelis papua),Biscoe,221,5300,MALE,2008,5.3
Gentoo penguin (Pygoscelis papua),Biscoe,214,4400,FEMALE,2008,4.4
Gentoo penguin (Pygoscelis papua),Biscoe,231,5650,MALE,2008,5.65
Gentoo penguin (Pygoscelis papua),Biscoe,219,4700,FEMALE,2008,4.7
Gentoo penguin (Pygoscelis papua),Biscoe,230,5700,MALE,2008,5.7
Gentoo penguin (Pygoscelis papua),Biscoe,214,4650,NA,2008,4.65
Gentoo penguin (Pygoscelis papua),Biscoe,229,5800,MALE,2008,5.8
Gentoo penguin (Pygoscelis papua),Biscoe,220,4700,FEMALE,2008,4.7
Gentoo penguin (Pygoscelis papua),Biscoe,223,5550,MALE,2008,5.55
Gentoo penguin (Pygoscelis papua),Biscoe,216,4750,FEMALE,2008,4.75
Gentoo penguin (Pygoscelis papua),Biscoe,221,5000,MALE,2008,5
Gentoo penguin (Pygoscelis papua),Biscoe,221,5100,MALE,2008,5.1
Gentoo penguin (Pygoscelis papua),Biscoe,217,5200,FEMALE,2008,5.2
Gentoo penguin (Pygoscelis papua),Biscoe,216,4700,FEMALE,2008,4.7
Gentoo penguin (Pygoscelis papua),Biscoe,230,5800,MALE,2008,5.8
Gentoo penguin (Pygoscelis papua),Biscoe,209,4600,FEMALE,2008,4.6
Gentoo penguin (Pygoscelis papua),Biscoe,220,6000,MALE,2008,6
Gentoo penguin (Pygoscelis papua),Biscoe,215,4750,FEMALE,2008,4.75
Gentoo penguin (Pygoscelis papua),Biscoe,223,5950,MALE,2008,5.95
Gentoo penguin (Pygoscelis papua),Biscoe,212,4625,FEMALE,2009,4.625
Gentoo penguin (Pygoscelis papua),Biscoe,221,5450,MALE,2009,5.45
Gentoo penguin (Pygoscelis papua),Biscoe,212,4725,FEMALE,2009,4.725
Gentoo penguin (Pygoscelis papua),Biscoe,224,5350,MALE,2009,5.35
Gentoo penguin (Pygoscelis papua),Biscoe,212,4750,FEMALE,2009,4.75
Gentoo penguin (Pygoscelis papua),Biscoe,228,5600,MALE,2009,5.6
Gentoo penguin (Pygoscelis papua),Biscoe,218,4600,FEMALE,2009,4.6
Gentoo penguin (Pygoscelis papua),Biscoe,218,5300,MALE,2009,5.3
Gentoo penguin (Pygoscelis papua),Biscoe,212,4875,FEMALE,2009,4.875
Gentoo penguin (Pygoscelis papua),Biscoe,230,5550,MALE,2009,5.55
Gentoo penguin (Pygoscelis papua),Biscoe,218,4950,FEMALE,2009,4.95
Gentoo penguin (Pygoscelis papua),Biscoe,228,5400,MALE,2009,5.4
Gentoo penguin (Pygoscelis papua),Biscoe,212,4750,FEMALE,2009,4.75
Gentoo penguin (Pygoscelis papua),Biscoe,224,5650,MALE,2009,5.65
Gentoo penguin (Pygoscelis papua),Biscoe,214,4850,FEMALE,2009,4.85
Gentoo penguin (Pygoscelis papua),Biscoe,226,5200,MALE,2009,5.2
Gentoo penguin (Pygoscelis papua),Biscoe,216,4925,MALE,2009,4.925
Gentoo penguin (Pygoscelis papua),Biscoe,222,4875,FEMALE,2009,4.875
Gentoo penguin (Pygoscelis papua),Biscoe,203,4625,FEMALE,2009,4.625
Gentoo penguin (Pygoscelis papua),Biscoe,225,5250,MALE,2009,5.25
Gentoo penguin (Pygoscelis papua),Biscoe,219,4850,FEMALE,2009,4.85
Gentoo penguin (Pygoscelis papua),Biscoe,228,5600,MALE,2009,5.6
Gentoo penguin (Pygoscelis papua),Biscoe,215,4975,FEMALE,2009,4.975
Gentoo penguin (Pygoscelis papua),Biscoe,228,5500,MALE,2009,5.5
Gentoo penguin (Pygoscelis papua),Biscoe,216,4725,NA,2009,4.725
Gentoo penguin (Pygoscelis papua),Biscoe,215,5500,MALE,2009,5.5
Gentoo penguin (Pygoscelis papua),Biscoe,210,4700,FEMALE,2009,4.7
Gentoo penguin (Pygoscelis papua),Biscoe,219,5500,MALE,2009,5.5
Gentoo penguin (Pygoscelis papua),Biscoe,208,4575,FEMALE,2009,4.575
Gentoo penguin (Pygoscelis papua),Biscoe,209,5500,MALE,2009,5.5
Gentoo penguin (Pygoscelis papua),Biscoe,216,5000,FEMALE,2009,5
Gentoo penguin (Pygoscelis papua),Biscoe,229,5950,MALE,2009,5.95
Gentoo penguin (Pygoscelis papua),Biscoe,213,4650,FEMALE,2009,4.65
Gentoo penguin (Pygoscelis papua),Biscoe,230,5500,MALE,2009,5.5
Gentoo penguin (Pygoscelis papua),Biscoe,217,4375,FEMALE,2009,4.375
Gentoo penguin (Pygoscelis papua),Biscoe,230,5850,MALE,2009,5.85
Gentoo penguin (Pygoscelis papua),Biscoe,217,4875,NA,2009,4.875
Gentoo penguin (Pygoscelis papua),Biscoe,222,6000,MALE,2009,6
Gentoo penguin (Pygoscelis papua),Biscoe,214,4925,FEMALE,2009,4.925
Gentoo penguin (Pygoscelis papua),Biscoe,215,4850,FEMALE,2009,4.85
Gentoo penguin (Pygoscelis papua),Biscoe,222,5750,MALE,2009,5.75
Gentoo penguin (Pygoscelis papua),Biscoe,212,5200,FEMALE,2009,5.2
Gentoo penguin (Pygoscelis papua),Biscoe,213,5400,MALE,2009,5.4
Chinstrap penguin (Pygoscelis antarctica),Dream,192,3500,FEMALE,2007,3.5
Chinstrap penguin (Pygoscelis antarctica),Dream,196,3900,MALE,2007,3.9
Chinstrap penguin (Pygoscelis antarctica),Dream,193,3650,MALE,2007,3.65
Chinstrap penguin (Pygoscelis antarctica),Dream,188,3525,FEMALE,2007,3.525
Chinstrap penguin (Pygoscelis antarctica),Dream,197,3725,MALE,2007,3.725
Chinstrap penguin (Pygoscelis antarctica),Dream,198,3950,FEMALE,2007,3.95
Chinstrap penguin (Pygoscelis antarctica),Dream,178,3250,FEMALE,2007,3.25
Chinstrap penguin (Pygoscelis antarctica),Dream,197,3750,MALE,2007,3.75
Chinstrap penguin (Pygoscelis antarctica),Dream,195,4150,FEMALE,2007,4.15
Chinstrap penguin (Pygoscelis antarctica),Dream,198,3700,MALE,2007,3.7
Chinstrap penguin (Pygoscelis antarctica),Dream,193,3800,FEMALE,2007,3.8
Chinstrap penguin (Pygoscelis antarctica),Dream,194,3775,MALE,2007,3.775
Chinstrap penguin (Pygoscelis antarctica),Dream,185,3700,FEMALE,2007,3.7
Chinstrap penguin (Pygoscelis antarctica),Dream,201,4050,MALE,2007,4.05
Chinstrap penguin (Pygoscelis antarctica),Dream,190,3575,FEMALE,2007,3.575
Chinstrap penguin (Pygoscelis antarctica),Dream,201,4050,MALE,2007,4.05
Chinstrap penguin (Pygoscelis antarctica),Dream,197,3300,MALE,2007,3.3
Chinstrap penguin (Pygoscelis antarctica),Dream,181,3700,FEMALE,2007,3.7
Chinstrap penguin (Pygoscelis antarctica),Dream,190,3450,FEMALE,2007,3.45
Chinstrap penguin (Pygoscelis antarctica),Dream,195,4400,MALE,2007,4.4
Chinstrap penguin (Pygoscelis antarctica),Dream,181,3600,FEMALE,2007,3.6
Chinstrap penguin (Pygoscelis antarctica),Dream,191,3400,MALE,2007,3.4
Chinstrap penguin (Pygoscelis antarctica),Dream,187,2900,FEMALE,2007,2.9
Chinstrap penguin (Pygoscelis antarctica),Dream,193,3800,MALE,2007,3.8
Chinstrap penguin (Pygoscelis antarctica),Dream,195,3300,FEMALE,2007,3.3
Chinstrap penguin (Pygoscelis antarctica),Dream,197,4150,MALE,2007,4.15
Chinstrap penguin (Pygoscelis antarctica),Dream,200,3400,FEMALE,2008,3.4
Chinstrap penguin (Pygoscelis antarctica),Dream,200,3800,MALE,2008,3.8
Chinstrap penguin (Pygoscelis antarctica),Dream,191,3700,FEMALE,2008,3.7
Chinstrap penguin (Pygoscelis antarctica),Dream,205,4550,MALE,2008,4.55
Chinstrap penguin (Pygoscelis antarctica),Dream,187,3200,FEMALE,2008,3.2
Chinstrap penguin (Pygoscelis antarctica),Dream,201,4300,MALE,2008,4.3
Chinstrap penguin (Pygoscelis antarctica),Dream,187,3350,FEMALE,2008,3.35
Chinstrap penguin (Pygoscelis antarctica),Dream,203,4100,MALE,2008,4.1
Chinstrap penguin (Pygoscelis antarctica),Dream,195,3600,MALE,2008,3.6
Chinstrap penguin (Pygoscelis antarctica),Dream,199,3900,FEMALE,2008,3.9
Chinstrap penguin (Pygoscelis antarctica),Dream,195,3850,FEMALE,2008,3.85
Chinstrap penguin (Pygoscelis antarctica),Dream,210,4800,MALE,2008,4.8
Chinstrap penguin (Pygoscelis antarctica),Dream,192,2700,FEMALE,2008,2.7
Chinstrap penguin (Pygoscelis antarctica),Dream,205,4500,MALE,2008,4.5
Chinstrap penguin (Pygoscelis antarctica),Dream,210,3950,MALE,2008,3.95
Chinstrap penguin (Pygoscelis antarctica),Dream,187,3650,FEMALE,2008,3.65
Chinstrap penguin (Pygoscelis antarctica),Dream,196,3550,MALE,2008,3.55
Chinstrap penguin (Pygoscelis antarctica),Dream,196,3500,FEMALE,2008,3.5
Chinstrap penguin (Pygoscelis antarctica),Dream,196,3675,FEMALE,2009,3.675
Chinstrap penguin (Pygoscelis antarctica),Dream,201,4450,MALE,2009,4.45
Chinstrap penguin (Pygoscelis antarctica),Dream,190,3400,FEMALE,2009,3.4
Chinstrap penguin (Pygoscelis antarctica),Dream,212,4300,MALE,2009,4.3
Chinstrap penguin (Pygoscelis antarctica),Dream,187,3250,MALE,2009,3.25
Chinstrap penguin (Pygoscelis antarctica),Dream,198,3675,FEMALE,2009,3.675
Chinstrap penguin (Pygoscelis antarctica),Dream,199,3325,FEMALE,2009,3.325
Chinstrap penguin (Pygoscelis antarctica),Dream,201,3950,MALE,2009,3.95
Chinstrap penguin (Pygoscelis antarctica),Dream,193,3600,FEMALE,2009,3.6
